City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Qaanaaq,GL,77.484,-69.3632,-13.5,60,30,7.11,scattered clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,85.96,88,43,5.99,scattered clouds
2,Albany,US,42.6001,-73.9662,25.27,67,78,1.99,broken clouds
3,Cape Town,ZA,-33.9258,18.4232,66.27,81,20,4.61,few clouds
4,Airai,TL,-8.9266,125.4092,60.71,89,89,2.01,overcast clouds
5,Hobyo,SO,5.3505,48.5268,76.33,70,66,17.25,broken clouds
6,Port Alfred,ZA,-33.5906,26.891,74.61,82,87,15.35,overcast clouds
7,Hasaki,JP,35.7333,140.8333,27.0,42,3,16.22,clear sky
8,Brae,GB,60.3964,-1.353,39.11,54,61,34.99,broken clouds
9,Khatanga,RU,71.9667,102.5,-16.67,98,99,8.7,overcast clouds
10,Atuona,PF,-9.8,-139.0333,77.88,78,9,18.14,light rain
11,Aklavik,CA,68.2191,-135.0107,-21.17,92,100,19.39,overcast clouds
12,Hithadhoo,MV,-0.6,73.0833,82.02,72,21,13.31,few clouds
13,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,12.66,few clouds
14,Ushuaia,AR,-54.8,-68.3,62.22,81,100,6.8,overcast clouds
15,Elliot,ZA,-31.3333,27.85,60.12,75,33,5.1,scattered clouds
16,Port Blair,IN,11.6667,92.75,78.21,81,11,10.36,few clouds
17,Busselton,AU,-33.65,115.3333,53.1,66,63,18.12,broken clouds
18,Tasiilaq,GL,65.6145,-37.6368,21.36,59,100,44.74,overcast clouds
19,Faanui,PF,-16.4833,-151.75,81.59,75,100,20.33,overcast clouds
20,Bandarbeyla,SO,9.4942,50.8122,75.24,74,75,14.32,broken clouds
21,Arman,RU,59.7,150.1667,3.02,72,61,10.51,broken clouds
22,Xining,CN,36.6167,101.7667,8.19,93,89,2.57,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,-23.28,100,96,2.37,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,55.47,53,4,1.95,clear sky
25,Avarua,CK,-21.2078,-159.775,82.45,83,65,14.97,broken clouds
26,Macas,EC,-2.3167,-78.1167,76.75,64,75,4.61,broken clouds
27,Gouyave,GD,12.1646,-61.7296,79.57,78,20,16.11,few clouds
28,Caloundra,AU,-26.8,153.1333,71.44,83,93,3.0,light rain
29,Ribeira Grande,PT,38.5167,-28.7,61.43,84,11,9.17,few clouds
30,Vaini,TO,-21.2,-175.2,77.16,100,100,16.11,moderate rain
31,Georgetown,MY,5.4112,100.3354,76.95,93,40,2.3,scattered clouds
32,Tuban,ID,-6.8976,112.0649,76.84,90,100,4.09,overcast clouds
33,Bathsheba,BB,13.2167,-59.5167,79.41,73,75,16.11,broken clouds
34,Huntsville,US,34.7304,-86.5861,53.47,43,0,1.99,clear sky
35,Geraldton,AU,-28.7667,114.6,68.41,60,100,14.97,overcast clouds
36,Kailua,US,21.4022,-157.7394,82.38,69,20,8.01,few clouds
37,Strezhevoy,RU,60.7333,77.5889,1.38,96,46,8.55,scattered clouds
38,Almaty,KZ,43.25,76.95,33.71,93,100,6.71,mist
39,Poum,NC,-20.2333,164.0167,81.3,81,100,11.74,overcast clouds
40,Bogotol,RU,56.2078,89.5342,12.65,89,100,5.37,overcast clouds
41,Nizwa,OM,22.9333,57.5333,64.62,58,0,2.17,clear sky
42,Hobart,AU,-42.8794,147.3294,65.12,71,20,1.99,few clouds
43,Chernyshevskiy,RU,63.0128,112.4714,-5.8,99,100,3.0,overcast clouds
44,Lebu,CL,-37.6167,-73.65,64.06,74,0,13.89,clear sky
45,Hong Gai,VN,20.956,107.0946,58.91,97,100,2.95,overcast clouds
46,Butaritari,KI,3.0707,172.7902,81.86,76,38,16.87,light rain
47,Kieta,PG,-6.2167,155.6333,82.87,75,100,7.52,overcast clouds
48,Hilo,US,19.7297,-155.09,76.24,84,100,10.36,light rain
49,Cabo San Lucas,MX,22.8909,-109.9124,74.61,61,0,1.99,clear sky
50,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,40,17.27,scattered clouds
51,Mehamn,NO,71.0357,27.8492,19.31,87,29,14.07,scattered clouds
52,Lebedyn,UA,50.5852,34.4849,22.42,94,78,9.13,broken clouds
53,Chokurdakh,RU,70.6333,147.9167,-40.22,100,86,2.51,overcast clouds
54,Rocha,UY,-34.4833,-54.3333,65.86,63,59,18.41,broken clouds
55,Camacha,PT,33.0833,-16.3333,60.22,67,75,14.97,broken clouds
56,Puerto Madryn,AR,-42.7692,-65.0385,71.38,38,6,16.22,clear sky
57,Tuatapere,NZ,-46.1333,167.6833,56.82,54,2,3.4,clear sky
58,Rikitea,PF,-23.1203,-134.9692,79.25,70,3,17.38,clear sky
59,Bereda,ES,43.2686,-7.5406,46.15,98,67,1.92,broken clouds
60,Logan,US,41.7355,-111.8344,41.05,64,0,1.01,clear sky
61,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,100,13.15,overcast clouds
62,Port Elizabeth,ZA,-33.918,25.5701,74.1,68,0,5.75,clear sky
63,Nizip,TR,37.0097,37.7942,38.35,71,3,4.63,clear sky
64,New Norfolk,AU,-42.7826,147.0587,63.75,68,2,2.48,clear sky
65,Oriximina,BR,-1.7656,-55.8661,76.95,87,97,0.54,overcast clouds
66,Shahreza,IR,32.0339,51.8794,32.2,55,0,4.83,clear sky
67,Meulaboh,ID,4.1363,96.1285,74.66,91,100,4.03,overcast clouds
68,Half Moon Bay,US,37.4636,-122.4286,71.49,50,0,1.01,clear sky
69,Limoges,FR,45.75,1.3333,46.96,100,100,14.97,drizzle
70,San Patricio,US,28.017,-97.5169,66.29,59,51,6.78,broken clouds
71,Poquoson,US,37.1224,-76.3458,38.03,77,100,1.01,overcast clouds
72,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.47,85,0,20.54,clear sky
73,Flin Flon,CA,54.7682,-101.865,-0.56,65,100,8.05,overcast clouds
74,Saint George,US,37.1041,-113.5841,61.27,17,0,4.0,clear sky
75,Sayat,TM,38.7839,63.8803,39.07,62,91,3.51,overcast clouds
76,Hermanus,ZA,-34.4187,19.2345,67.8,95,11,5.66,few clouds
77,Bolshaya Rechka,RU,51.9503,104.7355,7.07,92,69,2.93,broken clouds
78,Mahebourg,MU,-20.4081,57.7,79.25,89,40,9.22,scattered clouds
79,Samarai,PG,-10.6167,150.6667,82.67,73,100,9.37,overcast clouds
80,Pangnirtung,CA,66.1451,-65.7125,-33.61,98,100,1.99,overcast clouds
81,Dudinka,RU,69.4058,86.1778,-34.55,100,21,4.21,few clouds
82,Upernavik,GL,72.7868,-56.1549,-14.24,99,100,10.02,overcast clouds
83,Puerto Suarez,BO,-18.95,-57.8,77.7,92,94,3.38,heavy intensity rain
84,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.45,92,87,1.59,overcast clouds
85,Taos,US,36.4072,-105.5731,33.26,56,0,3.0,clear sky
86,Thunder Bay,CA,48.4001,-89.3168,14.56,70,75,6.91,broken clouds
87,Thompson,CA,55.7435,-97.8558,-2.02,86,7,7.9,clear sky
88,Hailar,CN,49.2,119.7,-3.35,99,99,5.97,overcast clouds
89,Punta Arenas,CL,-53.15,-70.9167,69.82,72,75,8.05,broken clouds
90,Goderich,CA,43.7501,-81.7165,28.72,64,100,13.8,overcast clouds
91,Kapaa,US,22.0752,-159.319,79.12,72,75,3.0,broken clouds
92,Naron,ES,43.5167,-8.1528,50.85,86,71,4.38,broken clouds
93,Varkkallai,IN,8.7341,76.7067,78.58,88,68,6.33,broken clouds
94,Coquimbo,CL,-29.9533,-71.3436,65.93,77,40,12.66,scattered clouds
95,Dikson,RU,73.5069,80.5464,-19.32,99,94,11.43,overcast clouds
96,Kavaratti,IN,10.5669,72.642,77.77,69,20,9.62,few clouds
97,Kudahuvadhoo,MV,2.6708,72.8944,81.21,65,60,11.03,broken clouds
98,Ahome,MX,25.9167,-109.1833,73.35,42,0,14.72,clear sky
99,Cidreira,BR,-30.1811,-50.2056,74.14,68,2,15.93,clear sky
100,Saquena,PE,-4.6667,-73.5167,86.68,64,100,1.39,overcast clouds
101,Bow Island,CA,49.8668,-111.3684,53.98,33,80,0.0,broken clouds
102,Ariquemes,BR,-9.9133,-63.0408,78.33,88,92,4.18,overcast clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,67.08,82,100,3.0,light rain
104,Fallon,US,39.4735,-118.7774,53.42,28,20,4.61,few clouds
105,Te Anau,NZ,-45.4167,167.7167,55.54,58,23,0.85,few clouds
106,Kununurra,AU,-15.7667,128.7333,76.98,94,100,6.91,overcast clouds
107,Aktash,RU,50.3,87.7333,-15.63,60,0,5.08,clear sky
108,Barrow,US,71.2906,-156.7887,-25.58,68,0,13.8,clear sky
109,Galle,LK,6.0367,80.217,77.49,79,83,2.71,broken clouds
110,Biltine,TD,14.5333,20.9167,65.44,13,67,14.7,broken clouds
111,Bonavista,CA,48.6499,-53.1147,14.11,63,99,23.49,overcast clouds
112,Kodiak,US,57.79,-152.4072,36.91,60,0,13.8,clear sky
113,Taoudenni,ML,22.6783,-3.9836,69.98,12,18,10.63,few clouds
114,Alyangula,AU,-13.8483,136.4192,80.22,80,83,1.79,broken clouds
115,Luis Correia,BR,-2.8792,-41.6669,84.2,79,40,9.22,scattered clouds
116,Picota,PE,-6.9197,-76.3304,88.29,90,100,1.95,overcast clouds
117,Severo-Kurilsk,RU,50.6789,156.125,29.26,90,100,12.55,snow
118,Castro,BR,-24.7911,-50.0119,68.9,81,62,0.98,broken clouds
119,Manokwari,ID,-0.8667,134.0833,78.35,75,100,1.41,overcast clouds
120,Dingle,PH,10.9995,122.6711,73.0,91,85,8.34,overcast clouds
121,Mirante Do Paranapanema,BR,-22.2919,-51.9064,82.33,82,54,4.99,broken clouds
122,Chuy,UY,-33.6971,-53.4616,68.52,47,7,13.09,clear sky
123,Pakokku,MM,21.3333,95.1,60.85,43,65,3.53,broken clouds
124,Taylor,US,32.3001,-99.8337,58.14,46,0,5.99,clear sky
125,Yellowknife,CA,62.456,-114.3525,0.41,91,100,10.36,light snow
126,Bengkulu,ID,-3.8004,102.2655,75.56,88,100,9.28,overcast clouds
127,Ponta Delgada,PT,37.7333,-25.6667,62.51,82,75,11.5,broken clouds
128,Klaksvik,FO,62.2266,-6.589,34.72,55,89,35.81,overcast clouds
129,Verkhnevilyuysk,RU,63.4453,120.3167,-8.41,98,100,6.24,overcast clouds
130,Coihaique,CL,-45.5752,-72.0662,83.01,45,7,5.23,clear sky
131,Elko,US,41.0002,-115.5012,44.62,36,5,2.46,clear sky
132,Kizilskoye,RU,52.7255,58.8937,11.73,95,100,5.21,overcast clouds
133,Tashtagol,RU,52.7657,87.8894,0.66,98,61,2.59,broken clouds
134,Price,US,39.5994,-110.8107,43.86,24,0,3.78,clear sky
135,Seminole,US,28.7086,-81.2081,70.0,91,100,8.05,mist
136,Yar-Sale,RU,66.8333,70.8333,-10.73,100,85,7.85,overcast clouds
137,Susanville,US,40.4163,-120.653,50.92,37,0,8.01,clear sky
138,Amahai,ID,-3.3333,128.9167,78.1,83,92,4.23,light rain
139,Chiang Rai,TH,19.9167,99.9167,60.78,100,20,0.0,few clouds
140,Balkanabat,TM,39.5108,54.3671,38.21,68,14,4.0,few clouds
141,Bull Savanna,JM,17.8868,-77.5902,76.87,54,2,4.27,clear sky
142,Laguna,US,38.421,-121.4238,71.44,47,0,3.0,clear sky
143,Provideniya,RU,64.3833,-173.3,1.51,66,0,0.0,clear sky
144,Manadhoo,MV,5.7667,73.3833,80.13,74,73,7.92,broken clouds
145,Cherskiy,RU,68.75,161.3,-31.4,100,22,1.77,few clouds
146,Nome,US,64.5011,-165.4064,1.47,55,0,4.61,clear sky
147,Mwanza,TZ,-2.5167,32.9,70.34,64,76,1.95,broken clouds
148,Maceio,BR,-9.6658,-35.7353,78.24,78,0,8.05,clear sky
149,Teluk Intan,MY,4.0259,101.0213,77.02,96,100,3.4,overcast clouds
150,Ust-Koksa,RU,50.2696,85.6108,-4.32,80,48,0.92,scattered clouds
151,Ha Tinh,VN,18.3333,105.9,59.81,92,68,2.19,broken clouds
152,Cibitoke,BI,-2.8833,29.25,60.44,91,100,3.56,light rain
153,Mount Gambier,AU,-37.8333,140.7667,71.53,36,0,6.98,clear sky
154,Isangel,VU,-19.55,169.2667,80.71,94,100,3.44,overcast clouds
155,Ferrandina,IT,40.5012,16.4547,47.07,89,8,2.19,clear sky
156,Gambela,ET,8.25,34.5833,79.77,27,66,1.77,broken clouds
157,Coruripe,BR,-10.1256,-36.1756,80.06,77,1,12.48,clear sky
158,Leningradskiy,RU,69.3833,178.4167,-23.64,99,27,5.12,scattered clouds
159,Ust-Nera,RU,64.5667,143.2,-25.55,81,3,2.55,clear sky
160,Nuevo Progreso,MX,23.1667,-97.95,72.59,41,14,8.99,few clouds
161,Victoria,HK,22.2855,114.1577,61.25,85,100,8.99,overcast clouds
162,Sonda,EE,59.3436,26.8364,31.98,94,100,6.69,overcast clouds
163,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,98,4.47,light snow
164,Kaeo,NZ,-35.1,173.7833,75.33,98,100,4.61,overcast clouds
165,Flores,GT,16.9226,-89.8994,71.42,83,98,2.75,overcast clouds
166,Kruisfontein,ZA,-34.0033,24.7314,71.89,58,100,6.82,overcast clouds
167,Road Town,VG,18.4167,-64.6167,75.24,83,75,18.41,broken clouds
