City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Hobyo,SO,76.33,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
10,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
12,Hithadhoo,MV,82.02,few clouds,-0.6,73.0833,Scoop Guest House
16,Port Blair,IN,78.21,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
19,Faanui,PF,81.59,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Bandarbeyla,SO,75.24,broken clouds,9.4942,50.8122,JABIR HOTEL
25,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
26,Macas,EC,76.75,broken clouds,-2.3167,-78.1167,Casa Upano
27,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
30,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
31,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
32,Tuban,ID,76.84,overcast clouds,-6.8976,112.0649,Hotel Mustika
33,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
36,Kailua,US,82.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
39,Poum,NC,81.3,overcast clouds,-20.2333,164.0167,
46,Butaritari,KI,81.86,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Kieta,PG,82.87,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
48,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Arraial Do Cabo,BR,80.46,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
58,Rikitea,PF,79.25,clear sky,-23.1203,-134.9692,People ThankYou
61,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Oriximina,BR,76.95,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
72,Sao Joao Da Barra,BR,77.47,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
78,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Samarai,PG,82.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
83,Puerto Suarez,BO,77.7,heavy intensity rain,-18.95,-57.8,Hotel casa real
84,Sao Felix Do Xingu,BR,75.45,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
91,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
